Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
Spider-Man: Across the Spider-Verse,Spider-Man: A Través Del Spider-Verso,2023,8.5,140,A,"Animación, Acción, Aventura","Miles Morales regresa para el próximo capítulo de la saga ganadora de un Oscar, una aventura épica que transportará a Brooklyn a tiempo completo.",https://www.imdb.com/title/tt9362722/,Amazon Prime Video
Casablanca,Casablanca,1942,8.5,102,B,"Drama, Romance, Guerra",El escéptico propietario de un club nocturno protege a un antiguo amor y a su marido de los nazis en Marruecos.,https://www.imdb.com/title/tt0034583/,Ninguna Plataforma
The Usual Suspects,Sospechosos comunes,1995,8.5,106,B15,"Crimen, Drama, Misterio","Un agente especial de aduanas de Estados Unidos investiga las causas del incendio de un barco en Los Ángeles, cuyo único sobreviviente relata los eventos que condujeron a la desgracia.",https://www.imdb.com/title/tt0114814/,Ninguna Plataforma
Intouchables,Amigos,2011,8.5,112,B,"Comedia, Drama","Después de quedar cuadripléjico a causa de un accidente de parapente, un aristócrata contrata a un joven de los proyectos para que sea su cuidador.",https://www.imdb.com/title/tt1675434/,Amazon Prime Video
Nuovo Cinema Paradiso,Cinema Paradiso,1988,8.5,174,A,"Drama, Romance",Un cineasta recuerda su infancia al enamorarse de las imágenes en el cine de su pueblo natal y forma una profunda amistad con el proyeccionista del cine.,https://www.imdb.com/title/tt0095765/,Ninguna Plataforma
Modern Times,Tiempos modernos,1936,8.5,87,A,"Comedia, Drama, Romance",Una hombre y una joven sin hogar se enfrentan a la vida moderna en las calles de la sociedad industrial.,https://www.imdb.com/title/tt0027977/,Ninguna Plataforma
Alien,"Alien, el octavo pasajero",1979,8.5,117,B,"Terror, Ciencia ficción","Cuando un barco mercante espacial percibe una transmisión desconocida como una llamada de socorro, un miembro de la tripulación es atacado por una misteriosa forma de vida. Pronto se dan cuenta de que su ciclo vital acaba de comenzar.",https://www.imdb.com/title/tt0078748/,Disney Plus
Rear Window,La ventana indiscreta,1954,8.5,112,R,"Drama, Misterio, Suspenso",Un fotógrafo en silla de ruedas espía a sus vecinos desde la ventana de su apartamento y está convencido que uno de ellos cometío un asesinato.,https://www.imdb.com/title/tt0047396/,Max
C'era una volta il West,Érase una vez en el oeste,1968,8.5,166,B,"Drama, Oeste",Un misterioso extraño con una armónica se alía con un famoso forajido para proteger a una bella viuda de un despiadado asesino que trabaja para el ferrocarril.,https://www.imdb.com/title/tt0064116/,Netflix
Django Unchained,Django sin cadenas,2012,8.5,165,B15,Oeste,"Con la ayuda de un cazarrecompensas alemán, un esclavo liberado sale a rescatar a su esposa de un brutal terrateniente en Mississippi.",https://www.imdb.com/title/tt1853728/,Netflix
City Lights,Luces de la ciudad,1931,8.5,87,A,"Comedia, Drama, Romance","Con la ayuda de un hombre adinerado, borracho e imprevisible, un ingenuo vagabundo que se ha enamorado de una florista ciega intenta conseguir dinero para poder proporcionarle ayuda médica.",https://www.imdb.com/title/tt0021749/,Ninguna Plataforma
Apocalypse Now,Apocalipsis,1979,8.4,147,C,"Drama, Misterio, Guerra",Un soldado de los Estados Unidos en Vietnam es mandado a asesinar a un coronel de las fuerzas especiales que se cree un dios.,https://www.imdb.com/title/tt0078788/,Ninguna Plataforma
Dune: Part Two,Duna: Parte Dos,2024,8.5,166,B,"Acción, Aventura, Drama",Paul Atreides se une a Chani y los Fremen mientras busca venganza contra los conspiradores que destruyeron a su familia.,https://www.imdb.com/title/tt15239678/,Max
Memento,Amnesia,2000,8.4,113,B,"Misterio, Suspenso",Un hombre con pérdida de memoria a corto plazo intenta rastrear al asesino de su esposa.,https://www.imdb.com/title/tt0209144/,"MUBI, Pluto TV"
WALL·E,WALL·E,2008,8.4,98,AA,"Animación, Aventura, Familia","En un futuro lejano, un pequeño robot limpiador se embarca en una odisea espacial que decidirá el futuro de la humanidad",https://www.imdb.com/title/tt0910970/,Disney Plus
